City,Year,Latitude,Longitude
Venezia,1482,45.4371908,12.3345898
Paris,1493,48.8534951,2.3483915
Leipzig,1492,51.3406321,12.3747329
Lyon,1480,45.7578137,4.8320114
Torino,1494,45.0677551,7.6824892
Leipzig,1490,51.3406321,12.3747329
Westminster,1476,51.5004439,-0.1265398
Leipzig,1500,51.3406321,12.3747329
Girona,1497,41.9793006,2.8199439
Venezia,1490,45.4371908,12.3345898
Esslingen,1477,48.7427584,9.3071685
Ferrara,1476,44.7667642,11.827939
Leipzig,1497,51.3406321,12.3747329
Padova,1485,45.391408,11.8058487
Memmingen,1487,47.9863099,10.1808016
Firenze,1482,43.7697955,11.2556404
Lübeck,1476,53.866444,10.684738
Venezia,1500,45.4371908,12.3345898
Firenze,1496,43.7697955,11.2556404
Basel,1483,47.5581077,7.5878261
Poitiers,1500,46.5802596,0.340196
Leipzig,1485,51.3406321,12.3747329
Bamberg,1488,49.8916044,10.8868478
Leipzig,1498,51.3406321,12.3747329
Paris,1495,48.8534951,2.3483915
London,1494,51.4893335,-0.1440551
Speyer,1495,49.3165553,8.433615
Leipzig,1500,51.3406321,12.3747329
Köln,1477,50.938361,6.959974
Köln,1480,50.938361,6.959974
Mainz,1465,49.9995205,8.2736253
Deventer,1496,52.2694896,6.2364886
Erfurt,1500,50.9777974,11.0287364
Nürnberg,1500,49.453872,11.077298
Memmingen,1499,47.9863099,10.1808016
Milano,1483,45.4641943,9.1896346
Roma,1500,41.8933203,12.4829321
Burgos,1490,42.343926,-3.696977
Paris,1494,48.8534951,2.3483915
Venezia,1471,45.4371908,12.3345898
Basel,1481,47.5581077,7.5878261
Paris,1500,48.8534951,2.3483915
Paris,1493,48.8534951,2.3483915
Modena,1490,44.5384728,10.9359609
Lyon,1500,45.7578137,4.8320114
Roma,1475,41.8933203,12.4829321
Antwerpen,1490,51.2211097,4.3997081
Basel,1499,47.5581077,7.5878261
Köln,1498,50.938361,6.959974
Lyon,1497,45.7578137,4.8320114
Venezia,1493,45.4371908,12.3345898
Firenze,1492,43.7697955,11.2556404
Magdeburg,1492,52.1315889,11.6399609
Köln,1472,50.938361,6.959974
Padova,1475,45.391408,11.8058487
Augsburg,1475,48.3690341,10.8979522
Leipzig,1498,51.3406321,12.3747329
Paris,1498,48.8534951,2.3483915
Strasbourg,1476,48.584614,7.7507127
Sevilla,1500,37.3886303,-5.9953403
Paris,1471,48.8534951,2.3483915
Firenze,1495,43.7697955,11.2556404
Lyon,1478,45.7578137,4.8320114
Milano,1495,45.4641943,9.1896346
Lyon,1498,45.7578137,4.8320114
Deventer,1495,52.2694896,6.2364886
Bologna,1478,44.4938203,11.3426327
Köln,1490,50.938361,6.959974
Paris,1500,48.8534951,2.3483915
Speyer,1481,49.3165553,8.433615
Lyon,1487,45.7578137,4.8320114
Augsburg,1478,48.3690341,10.8979522
Lyon,1490,45.7578137,4.8320114
Augsburg,1496,48.3690341,10.8979522
Paris,1485,48.8534951,2.3483915
Firenze,1487,43.7697955,11.2556404
Freiburg im Breisgau,1494,47.9960901,7.8494005
Roma,1483,41.8933203,12.4829321
Milano,1491,45.4641943,9.1896346
Regensburg,1488,49.0195333,12.0974869
Paris,1499,48.8534951,2.3483915
Lyon,1487,45.7578137,4.8320114
Antwerpen,1500,51.2211097,4.3997081
Gouda,1486,52.0181194,4.7111221
Venezia,1486,45.4371908,12.3345898
Rouen,1482,49.4404591,1.0939658
Roma,1475,41.8933203,12.4829321
Gouda,1483,52.0181194,4.7111221
Venezia,1500,45.4371908,12.3345898
Bologna,1490,44.4938203,11.3426327
Nürnberg,1489,49.453872,11.077298
Venezia,1495,45.4371908,12.3345898
Stockholm,1483,59.3251172,18.0710935
Pavia,1492,45.0368546,9.1378251
Venezia,1483,45.4371908,12.3345898
Modena,1475,44.5384728,10.9359609
Strasbourg,1495,48.584614,7.7507127
Bologna,1489,44.4938203,11.3426327
Köln,1490,50.938361,6.959974
Venezia,1493,45.4371908,12.3345898
